Title,Subscribers,Views,Likes,Comments,Description,Engagement Ratio,Category
KIDINGMinecraft,312.5K,678.2K,24.2K,1.8K,"Hi everyone,

This is my official YouTube channel. I'm doing Minecraft videos about 100 days survival and some interesting mod/addon. 

I hope you all have a good time on my channel. If you like me, please leave a like, comment or maybe share to support me for more future videos. 

And don't forget to hit the subcribes button and turn on notification to catch me on every new video 💖

Thank you and love you all !!

#kidingminecraft #kiding #minecraft",3.833677381,Animation
GMDanceCentre,5.8M,657.2K,12K,201,"Hi, Welcome to our Channel. 
We will be uploading Dance Videos/Tutorials of different Dance Styles for all age groups. 
Subscribe to our channel to get the latest update.

For business inquiry 
Mail: deepaktulsyanofficial@gmail.com 
Whatsapp +91-9990029978
.
📍Delhi, India

Our Address - G M Dance Centre.
E-1A, Rajan Babu Rd, near Gali no 11, Majlis Park, Adarsh Nagar, Delhi, 110033

Managed By Qyuki Digital Media.",1.856512477,Animation
MrFaisu,2.6M,656.1K,62.4K,365,"Started from the  bottom now we here. Not just an Influencer but, also an Aspiring Actor, Entertainer, I'm Mr. Faisu, a boy with million dreams, making them come true one day at a time with the love and support I receive",9.566377077,Animation
YuvaConnection,406.5K,651K,9.8K,1K,"The Yuva Connection is digital news & media group. We uploads HD live political rally, speech, interview, talk show, public opinion and latest exclusive breaking news videos etc.

Founder/Editor
- Aditya Raj 

Business Inquiry :
connectionyuva@gmail.com

For Any suggestion or complaint. 
Helpline No. ☎️ +91 7903120856",1.658986175,Animation
JibontoAnimation,1.4M,529K,16K,639,"Welcome to our 2D animation channel ""Jibonto Animation"" 

We saw many cartoons in our childhood, many memories are involved with cartoons, is not it ? If we can see in our childhood , why not now? Obviously yes. That's why we bring most popular cartoons only for you. This is a Animation channel not only for kids even also for everyone with lots of ghost stories. 
Hope you all enjoying our stories. 

Thanks for watching.

আমাদের ছেলেবেলাটা অনেক কার্টুন দেখে কেটেছে , অনেক স্মৃতি জড়িয়ে আছে কার্টুনের সাথে তাই না ? ☝️ ছোটবেলায় দেখতে পারি তাই বলে কি বড় বেলায় দেখবো না ? নিশ্চই দেখবো , তাই তো তোমাদের জন্য নিয়ে এসেছি এক ব্যাগ কার্টুন তাও আবার সেরা সেরা গল্পের উপর ! ✍️ দেখে ফেলো আর এইটুকু গ্যারান্টি তোমরা আবার কার্টুন ভালবাসবেই । তাই দেখতেই থাকো আর দেখতেই থাকো ;) ✌️✌️✌️",3.14536862,Animation
RivaArorachannel,1.4M,519.4K,0,212,"Hey guys it’s me Riva Arora ❤️
 Actress of Bollywood 🎥

this is my youtube channel 💞
HOPE YOU ENJOY ALL THE VLOGS ON MY CHANNEL",0.040816327,Animation
hungakiramobile,1.3M,510K,7.2K,262,"Kênh mới của HUNGAKIRA MOBILE, mình sẽ làm lại tất cả mọi thứ từ đầu hehe",1.463137255,Animation
KomalNahtaOfficial,408.5K,489.9K,21.6K,2.1K,Description NA,4.837721984,Animation
localBoiNani,1.6M,480.4K,29.4K,163,Me gangga putrudu https://www.instagram.com/invites/contact/?i=1j1ncxa5vhklp&utm_content=2v1v1cs,6.153830142,Animation
beebomco,2.9M,460.3K,36.2K,367,"Beebom's official YouTube Channel.
",7.944166848,Animation
Funmoji,2.6M,443.9K,29.1K,365,"Subscribe Kottandi👆...Navvulu Pattandi🤣
ఒక్క క్లిక్కుతో వంద నవ్వులు😂😂😂
----------------------------------------------------------------------------------------
FUNMOJI is an official comedy channel that makes videos on day to day life by adding humour in it. 
Subscribe to our channel for never ending laughs😂
Follow us on:
► Funmoji Youtube @ https://www.youtube.com/c/Funmoji
► Facebook @ https://www.facebook.com/Funmoji-102413555291934
► Instagram @ https://www.instagram.com/fun_moji
► Twitter @ https://twitter.com/Fun_moji
----------------------------------------------------------------------------------------
Stay tuned for more Fun & Entertainment


",6.637756251,Animation
imbixu,2.6M,436.6K,20.2K,1.1K,"My Motive, To Make You Smile! :)

For Business Related Inquiries : imbixuofficial@gmail.com
",4.878607421,Animation
ScaryPumpkin,1.8M,424.3K,15.1K,667,"Scary Pumpkin is an Animated Horror Stories Brand. We create high quality Animated Videos. Please subscribe to our YouTube Channel and Hit the bell icon for upcoming spine chilling Horror Stories.
Follow us on Instagram, Facebook and Twitter.
",3.716002828,Animation
banglaanimationgolpo,1.3M,413.1K,3.1K,130,Description NA,0.781893004,Animation
CaptainNick,2.4M,375.3K,31K,419,"Captain Nick welcomes you aboard on HAHA Flight l0l to humorland with continuing service to Roflberg.
Fasten your seatbelt and get ready for a hilarious ride.

 Hi, my name is Niharicka and this is my channel, which is all about Relatable and Funny videos.
I believe in Spreading & Sharing Smiles, for which i need your support :) 
So please subscribe to my Channel :)",8.371702638,Animation
KashmiriBackBenchers,839.5K,354.8K,7.1K,497,"For Business Enquiries
Kashmiribackbenchers@gmail.com
DON,T CONTACT US FOR PROMOTION OF BETTING APPS.",2.141206313,Animation
JABIRONGTV,244.5K,337.1K,19K,741,"Iano nasimang chingni tarigimin dakmesokaniko nisona mangen. Chinga nasimangni dakchakaniko nanga share aro subscribe kapachina molmola.

E-mail joksalsangma@gmail.com",5.856125779,Animation
banwarilalkicomedy,507.5K,333.7K,5.2K,52,"राम राम जी 
बनू पंकू के छोटे कॉमेडी विडियो और छोटी कहानियाँ देखने के लिए subscribe करे हमारे चैनल को 

for paid collobrations and promotions 
mail me :- Officialbanwarilal@gmail.com
",1.573868744,Animation
ABZYCOOL,1.2M,321.8K,1.2K,9,"ABZY Movies is a General Entertainment Channel (GEC) that features in-house produced well-known series of Crime thriller episodes called CRIME STOP and other Bollywood movies from yesteryear as shown on TV and YouTube.   

If you have good content/film which can be telecast-ed on Satellite Channels and on our platforms we would like to discuss this.
Kindly drop an email about same on info@abzy.com 

",0.375699192,Animation
rickshawali,3.2M,311.8K,18.9K,38,"Welcome to the official Youtube Channel of Anisha Dixit, earlier known as Rickshawali ❤👊

Instagram @anishadixit 
www.instagram.com/anishadixit
",6.073765234,Animation
PathanBhaiii,657K,309.1K,21K,1.6K,"Welcome to My Channel everyone. My Name Is Pathan Bhai. Hope you guys enjoy our videos, please make sure to like, subscribe and share our channel. Much love and thank you all. 

",7.31154966,Animation
LeeSangHoTV,745.5K,307.1K,2.8K,120,"피파온라인4 영상 혹은 시연이와 커플 영상이 가득한
이상호 유튜브 채널입니다!

구독, 좋아요 한 번씩 감사합니다!
",0.950830348,Animation
BoeingBoy,477.1K,296.3K,17.3K,85,"All about aviation! Captain on A320, ex B737",5.867364158,Animation
bongsamasya,539.5K,295.5K,14.1K,89,"Hay 
       মানুষগণ welcome to our channel BONG সমস্যা ।
 আসা করছি তোমাদের আমাদের ভিডিও ভালো লাগবে।  

🔸 Business enquiries : 

thestoicmediaofficial@gmail.com
",4.801692047,Animation
frameorder,8.1M,294.1K,6.1K,71,"Animation Studio Frame Order

Our official pages:
https://www.facebook.com/frameorder
https://www.facebook.com/cartoonboxanimation
https://www.instagram.com/cartoon_box_animation

Onder toezicht van het Commissariaat van de Media
Voor contact ga naar: www.joostlieuwma.nl
",2.098265896,Animation
Panda.,12.3M,289.5K,35.1K,223,"SUB for SURPRISE

Hey and welcome to this channel!
My name is Panda and I'm a professional Mobile Gamer! I upload some of my best gameplay when playing pubgm (pubg mobile) atm, but might start uploading more games in the future! My highest Rank I have had in pubgm is conqueror. Will also make reviews on new updates in games!

For business: 
panda@viralnation.com

Thanks for watching! 🐼",12.20138169,Animation
nandayonima,330.1K,281.6K,12K,536,youtuber malas,4.451704545,Animation
ChaibisketTelugu,998.5K,273.4K,13.1K,36,"Brewing All the Telugu Infotainment You Need!

Follow us on 
Facebook : http://bit.ly/fbpagecb
Twitter : http://bit.ly/TweetCB
Instagram : http://bit.ly/cbinstacb
You tube : http://bit.ly/1TTIAmp
Website : http://chaibisket.com/",4.804681785,Animation
arallabeauty,305.5K,264.7K,8.5K,104,"성악을 전공한 헤어디자이너💘 영대 모모헤어 대표원장
📧nadaara84@naver.com",3.250472233,Animation
ArunPanwarx,1.8M,254.5K,13.4K,472,"Hello Bhai,
Main hoon Arun Panwar from Palwal, Haryana (HR 30). BCA graduate and currently owning a Kia Seltos Diesel 2020 & Ford Endeavour 3.2 Titanium AT 4x4.

Thank you for being here.",5.450687623,Animation
kobiSaddam,791.1K,254K,15.8K,132,"সমস্ত প্রশংসা সেই মহান আল্লাহতালার, যিনি আমাদের সকলকেই সৃষ্টি করেছেন ৷

আমার অফিসিয়াল ফেসবুক পেজের লিংক 
               👇https://www.facebook.com/profile.php?id=100037324042690",6.272440945,Animation
yashitarai,1.3M,251.2K,27.6K,61,"Hey guys! 
I'm Yashita and I make videos on fashion, lifestyle and positivity 🌸
Subscribe to my channel for New Videos on every  WEDNESDAY & SUNDAY.",11.01154459,Animation
superhittamilsongs,866.5K,240.9K,1.4K,17,"Welcome to HORNPIPE RECORD LABEL, your exclusive Music YouTube Video Channel. Explore Free Super Hit Tamil Songs from Indian and South Indian music. Enjoy old classics (60s, 70s, 80s,90s), new releases, and independent top Tamil songs in audio or video format. From soulful melodies, duets, solos, evergreen folk,  gramathu themmangu  padalgal,  tnergetic kuthu beats, our curated playlists cover various genres. Experience the magic of composers like MS Viswanathan-Ramamuthy, KV Mahadevan, Ilaiyaraaja, Sankar Ganesh, Vidyasagar and Deva. Lyrics by Kannadasan, Vairamuthu, Gangai Amaran, and more. Delight in the voices of TM Soundarajan, P Suseela, S. Janaki, SPB, Malaysia Vasudevan,  KS Chitra, Sowrnalatha, Uma Ramanan, Jayachandran, Mano and others . Relish songs featuring iconic actors Sivaji Ganesh, MGR, Rajinikanth, Vijaykanth, Prabu, Karthik, Ramarajan, Kanaka, Nadiya, .... Subscribe to HORNPIPE RECORD LABEL (@superhittamilsongs) for an immersive musical journey best of Tamil cinema.
",0.588210876,Animation
pinkorojapan,3.6M,238.6K,2.4K,19,"Welcome to Arts and crafts room PINKORO😊
I'm making how to draw videos & how to make funny paper & cardboard crafts.
I want to enjoy arts and crafts together with you.
Would you like to try with PINKORO?

こんにちは、図画工作チャンネル「PINKORO」です😊
楽しいイラストの描き方や、クスっと笑えるペーパークラフトなどを紹介しています。
一緒に楽しんでもらえたらうれしいです。",1.013830679,Animation
mohammadfraz,355.1K,238.1K,3.5K,253,"Hello, I am Fraz. 
I am a Software Engineer at @Google. I have made this channel to help all who are ready to learn, grow, and do something big in the field of Tech. I create content through informational videos, tutorials, and podcasts that will help students and software engineers.

Subscribe to my second channel for more educational content:
https://www.youtube.com/c/LeadCodingbyFRAZ
(Recursion and Linked List series are completed)

For Collaboration Enquiries:
leadcoding98@gmail.com 

For all the latest announcements, join our telegram channel: 
https://t.me/leadcoding

For any doubts and guidance feel free to reach out to me on 
Instagram
https://www.instagram.com/frazmohammad
LinkedIn
https://www.linkedin.com/in/frazmohammad



✨ Hashtags ✨
#GoogleSde #Tech #SoftwareEngineering #Jobs #Career #ComputerScience #FAANGM #FAANG #DTU #engineering  #internship #college #DSA #Freshers
",1.576228475,Animation
camerawalebhaiya,184.1K,216.2K,14.6K,1.2K,"Curiosity | Travel | Storytelling 

Three words that define me better.",7.308048104,Animation
TwinBabyDiaries,1.1M,207.3K,11.5K,99,"Come join the adventures of the Bora family! Actors/hosts Karanvir Bohra and Teejay Sidhu give you a peep into life with twin Six-year-olds Bella Vienna, and baby, Snow- Jija…Sometimes you learn things, sometimes it's just messy, chaotic, fun!! 😄

connect: twinbabydiaries@gmail.com",5.595272552,Animation
mukeshchandragond,1.1M,206.8K,6.2K,411,"Mechanical, electrical, technical, timing all car
All type of Indian & imported cars repair 
Noida utter pradesh 

Only business inquiry email   mukeshautomobiles6@gmail.com",3.196808511,Animation
TotalGamingLive,6.6M,206.2K,22.8K,577,"Hi Gamers,  I'm AJAY! Here you will see me playing PC games and Mobile Games having some fun.

I Playing Free Fire, Pubg And GTA 5 With You On Total Gaming Channel.

Fully Indian Gamer With Hindi Commentary.

Business Email: ajayverse@totalgaming.in

For Contact: Join My Discord :- http://bit.ly/totalgamingdiscprd

☞ Backup Channel",11.33705141,Animation
TriedRefusedProductions,1.2M,205.8K,7.7K,1.1K,"BOLLYWOOD ANALYSIS, DISCUSSIONS & AWESOME DANCE ROUTINES :)",4.275996113,Animation
moviesinsighthindi,5.5M,205.5K,4.8K,184,"This entertainment channel is all about story explanation of Hollywood and Bollywood movies. To do movies explained in Hindi/Urdu first, we watch the full movie and then try our best to provide synopsis in easy words with suitable video footage and subtitles. So, in no time, you will get fully dubbed movie voice over in Hindi and the complete story plot and review of the respective film. We explain horror, thriller, sci-fi, drama based film and many more on you demand. 

Yeh entertainment channel Hollywood movies ke story explanation ke baare mein hai. Pehle hum Hindi/Urdu mein movies explain karne ke liye puri film dekhte hain, phir hum aasan lafzon mein synopsis / plot provide karte hain. Iskey baad suitable video footage aur subtitles ke saath add krte hain. Kuch hi waqt mein, aapko Hindi mein fully dubbed voice over aur uss film ki mukammal kahani / review mil jayega. Hum sab horror, thriller, sci-fi, drama films aur bhi bahut kuch aapki demand par explain karte hain.
",2.425304136,Animation
casetooop,2.8M,201.3K,20.1K,682,"Business Email - mailcasetoo@gmail.com
",10.32389468,Animation
beununsaram,159.5K,195.1K,3.8K,324,"영화 분석과 뉴스
배우 소개 & 가십거리들
스크린 세계의 모든 재밌는 사실들을 이야기해봅니다.
문의: l_cd@naver.com",2.113787801,Animation
KumarVishwas,4.4M,192.2K,10.3K,91,"Official YouTube Channel Of Dr Kumar Vishwas



",5.406347555,Animation
mukta_art_craft,3M,188.5K,8.7K,96,Description NA,4.666312997,Animation
FilmySins,6.5M,186.4K,14.7K,481,"For business inquiries: Filmysinshelp@gmail.com

Welcome To Filmy Sins,
We point out the sins / mistakes in a movie, Trailer or a Song. Enjoy! . ^^Every Movie Commits A Sin^^
This Channel is exclusively for Bollywood Movies Mistakes And It is just For Your Entertainment PLease Don't Take it Too Seriously.
Love You All And Enjoy..",8.144313305,Animation
Konkanspiritartandcrafts,84.2K,185.5K,6.8K,21,Description NA,3.677088949,Animation
EnglishFairyTales,3.5M,179.3K,2.1K,117,"Watch the Best and Most Popular Stories in English.
i.e : Sleeping Beauty , Hansel And Gretel, Lion And The Mouse, Red Shoes , Wolf And The Seven Little Goats and Many More.

Watch our Fairy Tales Stories in other European Languages Mentioned Below.",1.236475181,Animation
KennyJoGaming,616.1K,174.9K,11.3K,137,"▷ Kenny Jo Gaming is a mobile gaming channel currently focused on Clash of Clans.  You will see a variety of videos on daily gameplay and base development.  You will also find Informational Guides on Everything related to CoC.  Attack Strategies, 3 Star Attacks, Farming and Upgrade Advice, Let’s Play, Update News, and Good Vibes Only - you will want to Subscribe to see it all. Clash On! 

Content Creator | Influencer | Public Support

► Support by Using My Creator Code in all Supercell Games!  https://bit.ly/CodeClashJ


",6.539165237,Animation
kaelove,154.5K,172.4K,3.4K,392,"인류의 역사는 곧 전쟁의 역사입니다. 
기상천외한 무기들이 만들어 낸 역사와 지금 바로 마주하세요!",2.199535963,Animation
DailyValorantqq,150.5K,172.4K,2.6K,416,"© This is our original video with many high quality edits and original creative ideas. We try our best to bring you the best and most unique videos, we hope you enjoy it!
We spend 8-10 hours working on videos (search / filtering / editing) and showing the best game clips combined with creative and high-quality editing.
►Support the channel - patreon.com/DailyValorantqq
►Play Valorant  - https://playvalorant.com
►Contact me - ytdailyvalorant@gmail.com
",1.749419954,Animation
DefensiveOffence,1.7M,163.9K,7.4K,1.6K,"Defensive Offence is an independent platform created to bring out Geopolitical realities which get lost in Chaos & Vested interests of mainstream media. We don’t toe Diplomatic Lines drawn by Mainstream Media, neither we work under influence. Wait, we do have one influence- i.e. National Interest. 
Viewers are the only people we are answerable to. 
Political Correctness is not what we are known for, neither we aspire it. 
Truth & Realities matter most to us. 
India First, Rest Doesn’t Matter,
In God we Trust, Rest we Monitor.
धर्मो रक्षति रक्षित: 
(The law protects when it is protected)
Contact Us At: twitter.com/VaibhavUP65
                           facebook.com/defensiveoffence 
🇮🇳Jai Hind🇮🇳",5.491153142,Animation
rachitsingh,289.4K,162.8K,11.5K,723,"📷 making what i love to do

Enquiry 📦- teamrachitsingh@gmail.com",7.507985258,Animation
Sevou,6.4M,161.7K,14.6K,121,"Sevou, also known as Spoidermon, is a PUBG Mobile player who plays mostly in Solo vs. Squad and Duo vs Squad matches. The videos are not only professional but also entertaining as Sevou likes to highlight funny moments in his videos. On his channel you get to watch professional gameplay and new updates in the game.",9.103896104,Animation
lucasideale,179.4K,160.4K,1.9K,76,"Hello, I am Lucas Ideale and this is the best anime theory/animation channel, subscribe and hit the like button for more!

The storyline of my every animation is part of my imagination and it is outside of the storyline of Boruto´s real series, I want to give a huge shout out to the anime and say that my animations are just my ideas which I want to share with people.

The original name of the anime - «Boruto: Naruto Next Generations»
The author of the anime Naruto - Masashi Kishimoto
The author of the anime Boruto - Masashi Kishimoto and Kodachi Ukyou
The studio that publishes the anime Boruto and Naruto - Studio Pierrot ( https://en.pierrot.jp/)
TV Channel broadcasting anime Boruto and Naruto - TV Tokyo ( https://www.tv-tokyo.co.jp/)
Boruto and Naruto Manga Publishers - Shonen Jump Magazine ( shonenjump.com ), Shueisha Publishing
Crunchyroll ( https://www.crunchyroll.com/ru)
Toei Animation ( http://www.toei-animation-usa.com/)
Viz Media ( https://www.viz.com/)

",1.2319202,Animation
5ocial,2.4M,159.8K,10.1K,653,"Welcome to 5ocial! We make videos about everything you need to know.  Be it a trending topic or long lost chapter from a history book, we plan to bring you the crux of it on our visually dynamic platform. So let us know what you want to know! 

Like. Subscribe. Share",6.729036295,Animation
amfilmproductionbydeepakdeewan,2.5M,155.9K,1.8K,33,"मिथलांचल के no1- maithili comedy channel
Maithili comedy video'' ,Maithili movie'dhorbacomedy,maithilicomedydhorba,'मैथिली कॉमेडी ''मैथिली गीत 'मैथिली फिल्म ""maithilicomedydhorba,dhorba comedy,,laliyacomedy,,budhnicomedy,,dhorbalaliyacomedy,,maithilicomedydhorba,,dhorbakecomedy,,deepakdeewana
#dhorbacomedy
#dhorbamaithilicomedy
#dhorbalaliyamaithilicomedy
#dhorba
#dhorbalaliyacomedy
#dhorbacomedydowanload
#dhorbacomedynew
#dhorbamanglamaithilicomedy
#dhorbalaliyakemaithilicomedy
#dhorbadibiyawala
#dhorbalaliyamaithilicomedydowanload
#dhorbacomedyy
#dhorbanglafullmovie
#maithilicomedy
#maithilicomedyghar
#maithilicomedynew
#maithilicomedydhorba
#maithilicomedy2019
#maithilicomedyvideo
#maithilicomedydowanload
#maithilicomedy2020
#maithilicomedy
#maithilicomedyvideo2018
#maithilicomedynew2019
#maithilicomedydhorbalaliya
#maithilicomedyvideonew
#maithilicomedy
amfilmproductionbydeepakdeewana
 ,#Bhojpuri comedy
bhojpuricomedy",1.175753688,Animation
BayaanOfficial,189.2K,155.9K,8.3K,542,Official YouTube Channel for Bayaan,5.671584349,Animation
MSIIndiaOfficial,53.7K,153.6K,2.6K,0,"MSI is a world leader in gaming, content creation, business & productivity and AIoT solutions. Bolstered by its cutting-edge R&D capabilities and customer-driven innovation, MSI has a wide-ranging global presence spanning over 120 countries. Its comprehensive lineup of laptops, graphics cards, monitors, motherboards, desktops, peripherals, servers, IPCs, robotic appliances, and vehicle infotainment and telematics systems are globally acclaimed. Committed to advancing user experiences through the finest product quality, intuitive user interface and design aesthetics, MSI is a leading brand that shapes the future of technology. With a wide product selection and more than 100 events a year, MSI is dedicated to India market.

Made For Gamers & Creators | TRUE GAMING",1.692708333,Animation
user-hs9wk4xp1t,343.5K,152.6K,2.5K,226,"안녕하세요. 알베르토와 클라우디아 입니다.^^
행복한 노후를 준비하는 지식과 정보
그리고
힘겨울 때 위로와 용기를 나눌 수 있는
따듯한 채널을 만들기 위해 노력하고
있습니다.
여러분의 많은 관심과 응원
부탁드릴께요^^

[알베르토 약력]
연세대학교 생활환경대학원 졸업(석사)
건설 기술인 협회 정회원(건축,실내건축)

전)벨메종 주거문화연구소 소장
현)폴리포니 앙상블 단장
현)행복한 인생 2막 대표

[클라우디아 약력]
숙명여자대학교대학원 졸업 (아동문화컨텐츠 전공/석사)
교원 자격 취득 
문학사
가족복지사 
노인심리상담사 1급
가족심리상담사 1급
도서 쉬컵 출간

전)예원다솜문화교육(주) 대표이사

여러분의 행복한 인생 2막을 응원합니다.",1.786369594,Animation
MrSiku,566.4K,151.6K,16.8K,409,"Welcome Saxxies !
for business contact at -businesswithsiku@gmail.com
",11.35158311,Animation
nazzmusic,253.6K,150K,20.5K,814,"I Represent Hip Hop !

👇CONTACT 👇
FOR SHOWS/BOOKINGS/WORK
EMAIL - dealwithnazz@gmail.com
INSTAGRAM - @nazzmusic  -  https://www.instagram.com/nazzmusic/

👇Follow me on Social Media👇",14.20933333,Animation
user-iw6ue8ib1j,9.8M,149.6K,2.9K,8,"Hello Guy !

Welcome to the iGAMING TV channel. We produce videos about the brothers' Nerf wars and food wars! If you like Nerf guns you'll love the iGAMING TV channel!
Please support us and don't forget to like and subscribe for the Nerf guns!
Thanks for everything!

Chào mừng các bạn đến với kênh iGAMING TV channel. Chúng tôi sản xuất những video về chiến tranh Nerf của hai anh em và những cuộc chiến tranh dành đồ ăn !  Nếu các bạn thích súng Nerf các bạn sẽ yêu thích kênh iGAMING TV!
Hãy ủng hộ chúng tôi và đừng quên thích và đăng ký cho những cây súng Nerf! 
Cám ơn vì tất cả! 

Liên Hệ Quảng Cáo và Hợp Tác: Lamminhthangf6@gmail.com
#kocvietnam 
",1.943850267,Animation
VidPlex-Music,1.8M,145K,556,7,Description NA,0.388275862,Animation
Hopscotch_India,3.5K,144.4K,5,0,"We’re parents. We’re moms and dads who know what it’s like to have too many things to do and too little time in which to do them. Like you, we want the best for our kids (and our wallets) without having to wade through traffic or mediocrity. 

Hopscotch handpicks quality products for your little ones from the finest brands from around the world at attractive prices, making shopping easy, exciting and fun. This is a one stop shop destination for daily finds for babies and kids be it clothing, shoes, toys, accessories & more.",0.003462604,Animation
AverageJonas,661.5K,141.4K,6.9K,164,"Content creator for Team Liquid. I stream on Twitch everyday

Business: TeamJonas@unitedtalent.com",4.995756719,Animation
sriramsullia,175.1K,140K,0,26,Two RJ's had a baby and this channel became all about her!!! It's Aryaa's World - We are just living in it :) ,0.018571429,Animation
16mmcreations,340.1K,136.4K,7.9K,141,"16mm Creations is a channel which contains different genres of short films like love,comedy,drama,thriller,etc, all created by our 16mm creations team.Here we are trying to create quality content for the audience.If you like our channel,please do subscribe and click the bell icon for further updates.Channel estd on May 1, 2019.All rights reserved to 16mm Creations

For promotions Mail us : chandu16mm@gmail.com",5.89516129,Animation
sachinawasthi,273.6K,135.7K,9.9K,234,"follow on instagram- @isachinawasthi
For business inquiries:- isachinawasthi@gmail.com",7.467943994,Animation
Telon99,1M,135.2K,1.3K,110,"게임 좋아해요 :)

비즈니스 문의 : xordn123456@naver.com
",1.042899408,Animation
kagwang,325.5K,133.9K,2.2K,184,"변장, 위장 전문 Prank 코미디 채널입니다. 여자 연기를 감쪽같이 흉내 내는 남자 카광입니다. 업소 위장 취업, 스타킹 판매 등 사회의 어두운 면을 만나보세요. 만나보세요.

먹고 살려고 여장하는 겁니다.  배운 게 없어서 여장 각설이로 살고 있습니다.
나이들면 품바단을 꾸려 시장에서 호박엿을 팔 것입니다.

1주일에 영상 하나는 꼭 올리겠습니다.

여러분들은 공부를 하셔서, 여장하는 불상사가 없도록 하십시오.

나이 : 27세
학력 : 중졸
유튜브 월 수입 : 240만원~280만원 (월별상이)

삭제요청/문의/합방제안 : haeky123@naver.com
",1.780433159,Animation
twintag-ayeshafiroz,2.8M,132K,7.1K,243,"Business Enquiry :- twintagofficial@gmail.com

Hello World 😌 I'm Ayesha  From Mumbai India. Artist and a Videographer behind this Channel!


Channel Started on 23rd Feb 2018",5.562878788,Animation
locbignoseTV,1.4M,130.9K,3.5K,134,"- VIDEO MÌNH LÀM MỤC ĐÍCH CHỦ YẾU LÀ GIẢI TRÍ :))
- HÃY ẤN ĐĂNG KÝ KÊNH ĐỂ CẬP NHẬT NHỮNG VIDEO BÌNH LUẬN GAME, FUNNY, HƯỚNG DẪN...
- NẾU THẤY VIDEO CỦA MÌNH HAY THÌ NHỚ ẤN LIKE, SHARE VÀ SUBSCRIBE ĐỂ MÌNH CÓ THÊM ĐỘNG LỰC LÀM THÊM CÁC VIDEO KHÁC!!!
Những thắc mắc xoay quanh game các bạn có thể giam gia group clan để được giải đáp
- link group: https://www.facebook.com/groups/98883...
- link face: https://www.facebook.com/loc.top.1",2.776165011,Animation
shirleysetia,3.9M,130.9K,8.3K,135,"Tiny one, with not so tiny dreams ✨

I started off with music and singing, but realised I love doing a lot more things than just that. Thanks to YouTube, I can share what I love with all of you!                                                             

Don't forget to Subscribe to join the #TeamShirley clan, and make this journey yours too!! :) 

Check out my Official Website
http://www.shirleysetiaofficial.com

-My Social-Media Links-
Twitter: http://twitter.com/shirleysetia
Facebook: http://facebook.com/shirleysetia
Instagram: https://instagram.com/shirleysetia
SoundCloud: http://soundcloud.com/shirleysetia",6.443850267,Animation
